,area_type,availability,total_sqft,price
0,Super built-up  Area,19-Dec,1056,39.07
1,Plot  Area,Ready To Move,2600,120.0
2,Built-up  Area,Ready To Move,1440,62.0
3,Super built-up  Area,Ready To Move,1521,95.0
4,Super built-up  Area,Ready To Move,1200,51.0
5,Super built-up  Area,Ready To Move,1170,38.0
6,Super built-up  Area,18-May,2732,204.0
7,Super built-up  Area,Ready To Move,3300,600.0
8,Super built-up  Area,Ready To Move,1310,63.25
9,Plot  Area,Ready To Move,1020,370.0
10,Super built-up  Area,18-Feb,1800,70.0
11,Plot  Area,Ready To Move,2785,295.0
12,Super built-up  Area,Ready To Move,1000,38.0
13,Built-up  Area,Ready To Move,1100,40.0
14,Plot  Area,Ready To Move,2250,148.0
15,Super built-up  Area,Ready To Move,1175,73.5
16,Super built-up  Area,Ready To Move,1180,48.0
17,Super built-up  Area,Ready To Move,1540,60.0
18,Super built-up  Area,Ready To Move,2770,290.0
19,Super built-up  Area,Ready To Move,1100,48.0
20,Built-up  Area,Ready To Move,600,15.0
21,Super built-up  Area,19-Dec,1755,122.0
22,Plot  Area,Ready To Move,2800,380.0
23,Super built-up  Area,Ready To Move,1767,103.0
24,Super built-up  Area,18-Nov,510,25.25
25,Super built-up  Area,18-May,1250,56.0
26,Super built-up  Area,Ready To Move,660,23.1
27,Built-up  Area,20-Dec,1610,81.0
28,Super built-up  Area,17-Oct,1151,48.77
29,Super built-up  Area,Ready To Move,1025,47.0
30,Super built-up  Area,19-Dec,2100 - 2850,186.0
31,Super built-up  Area,Ready To Move,1075,35.0
32,Super built-up  Area,Ready To Move,1760,123.0
33,Super built-up  Area,Ready To Move,1693,57.39
34,Built-up  Area,Ready To Move,1925,125.0
35,Super built-up  Area,21-Dec,700,36.0
36,Super built-up  Area,Ready To Move,1070,45.5
37,Super built-up  Area,Ready To Move,1724,125.0
38,Super built-up  Area,Ready To Move,1290,56.12
39,Built-up  Area,Ready To Move,1143,45.0
40,Built-up  Area,Ready To Move,1296,81.0
41,Super built-up  Area,19-Dec,1254,38.0
42,Super built-up  Area,Ready To Move,600,38.0
43,Plot  Area,Ready To Move,660,48.0
44,Super built-up  Area,19-Sep,1330.74,91.79
45,Plot  Area,Ready To Move,600,200.0
46,Super built-up  Area,Ready To Move,970,33.0
47,Super built-up  Area,20-Sep,1459,94.82
48,Plot  Area,Ready To Move,800,130.0
49,Built-up  Area,Ready To Move,869,36.0
50,Super built-up  Area,Ready To Move,1270,50.0
51,Super built-up  Area,18-Mar,1670,99.0
52,Built-up  Area,Ready To Move,2010,91.0
53,Super built-up  Area,Ready To Move,1185,75.0
54,Super built-up  Area,Ready To Move,1600,75.0
55,Super built-up  Area,Ready To Move,1200,44.0
56,Built-up  Area,20-Feb,3010 - 3410,192.0
57,Super built-up  Area,Ready To Move,1500,185.0
58,Plot  Area,Ready To Move,1407,150.0
59,Super built-up  Area,Ready To Move,840,45.0
60,Plot  Area,Ready To Move,4395,240.0
61,Super built-up  Area,Ready To Move,845,55.0
62,Plot  Area,Ready To Move,5700,650.0
63,Built-up  Area,Ready To Move,1160,44.0
64,Built-up  Area,Ready To Move,3000,140.0
65,Super built-up  Area,Ready To Move,1100,62.0
66,Super built-up  Area,18-Apr,1140,43.0
67,Super built-up  Area,Ready To Move,1220,57.0
68,Plot  Area,Ready To Move,1350,85.0
69,Super built-up  Area,Ready To Move,1005,36.68
70,Plot  Area,Ready To Move,500,100.0
71,Super built-up  Area,20-Aug,1358,80.58
72,Super built-up  Area,Ready To Move,1569,101.0
73,Super built-up  Area,18-Apr,1240,70.0
74,Super built-up  Area,Ready To Move,2089,140.0
75,Super built-up  Area,Ready To Move,1206,48.23
76,Super built-up  Area,Ready To Move,1150,40.0
77,Built-up  Area,Ready To Move,2511,205.0
78,Built-up  Area,Ready To Move,460,22.0
79,Built-up  Area,Ready To Move,4400,250.0
80,Super built-up  Area,Ready To Move,1660,105.0
81,Built-up  Area,18-Oct,2957 - 3450,224.5
82,Super built-up  Area,19-Mar,1326,78.0
83,Super built-up  Area,Ready To Move,1325,60.8
84,Super built-up  Area,Ready To Move,1499,102.0
85,Built-up  Area,Ready To Move,3000,210.0
86,Super built-up  Area,Ready To Move,1665,88.0
87,Super built-up  Area,17-Sep,708,37.0
88,Super built-up  Area,Ready To Move,1060,58.06
89,Plot  Area,Ready To Move,710,160.0
90,Built-up  Area,Ready To Move,1000,70.0
91,Super built-up  Area,18-Dec,1000,28.88
92,Super built-up  Area,Ready To Move,1450,70.0
93,Plot  Area,Ready To Move,1200,155.0
94,Super built-up  Area,17-Aug,1296,80.0
95,Super built-up  Area,Ready To Move,1540,90.0
96,Plot  Area,Ready To Move,2894,245.0
97,Super built-up  Area,Ready To Move,1330,48.0
98,Built-up  Area,Ready To Move,1200,65.0
99,Built-up  Area,Ready To Move,1200,90.0
100,Super built-up  Area,Ready To Move,2502,138.0
101,Built-up  Area,Ready To Move,650,17.0
